OrderID,CustomerID,FoodItemID,FoodItemName,Quantity,OrderDate,OrderTime,Total_ItemsPrice
1,1,131,Baked Salad,1,01-Feb-26,12:27:53 PM,150
2,1,275,Smoky IceCream,1,05-Mar-26,7:41:38 PM,90
3,1,105,Garlic Kebab,2,10-Mar-26,9:44:47 PM,760
4,1,258,Special Fried Rice,3,08-Mar-26,10:54:34 AM,120
5,2,438,Hot Vada,1,04-Mar-26,12:49:28 AM,50
6,2,204,Cheesy Noodles,3,20-Mar-26,5:19:36 PM,120
7,2,352,BBQ Naan,2,04-Jan-26,12:37:19 AM,80
8,2,240,Schezwan Tikka,1,10-Jan-26,8:40:55 PM,250
9,2,178,Sweet Biryani,1,28-Apr-26,10:10:48 PM,180
10,3,127,Spicy Kebab,2,17-Jan-26,10:22:18 AM,640
11,3,228,Spicy Soup,4,11-Jan-26,5:34:36 PM,1000
12,3,278,Tandoori IceCream,2,06-Jan-26,7:56:26 PM,80
13,3,385,Special Roll,2,02-Apr-26,10:46:19 PM,180
14,3,194,Cheesy IceCream,2,21-Apr-26,4:22:36 PM,640
15,4,387,Tandoori Kheer,2,15-Jan-26,4:59:27 AM,120
16,4,375,Cheesy Pizza,1,17-Feb-26,8:44:51 PM,120
17,4,315,Hyderabadi Pasta,4,31-Mar-26,6:28:23 PM,720
18,4,274,Tandoori Pizza,1,28-Apr-26,7:21:21 AM,40
19,4,347,Tandoori Halwa,4,27-Feb-26,12:36:10 PM,360
20,5,110,Cheesy Salad,1,30-Mar-26,3:20:20 PM,250
21,5,386,Mexican Roll,4,06-Jan-26,10:58:55 AM,480
22,5,335,Crispy Naan,3,05-Apr-26,9:41:23 AM,270
23,5,405,Hyderabadi Salad,4,16-Jan-26,1:36:59 AM,480
24,5,319,Baked Dosa,3,15-Apr-26,4:19:33 PM,450
25,5,381,BBQ Manchurian,4,26-Mar-26,2:48:21 AM,1280
26,6,413,Sweet Halwa,4,24-Jan-26,4:26:34 AM,1000
27,6,401,Spicy Pizza,2,19-Jan-26,11:16:30 AM,100
28,6,235,Deluxe Pizza,1,05-Mar-26,4:28:11 PM,180
29,7,233,Schezwan Fried Rice,1,21-Mar-26,7:59:16 AM,60
30,7,369,Deluxe Kheer,3,04-Jan-26,7:47:43 PM,540
31,7,285,Smoky Vada,2,01-Apr-26,4:30:27 PM,300
32,7,289,South Indian Naan,2,03-Apr-26,11:32:14 AM,240
33,7,367,Hot Noodles,1,23-Feb-26,12:20:20 AM,150
34,7,239,Hyderabadi Dosa,4,20-Mar-26,12:31:17 PM,200
35,8,321,Cheesy Vada,2,25-Mar-26,6:52:10 PM,360
36,8,239,Hyderabadi Dosa,1,13-Feb-26,8:11:11 AM,50
37,8,318,Mexican Kheer,1,08-Apr-26,2:17:38 AM,60
38,9,355,Punjabi Burger,4,06-Mar-26,6:42:14 PM,200
39,9,260,Cheesy Idly,2,24-Feb-26,6:13:12 PM,300
40,9,264,BBQ Fried Rice,3,25-Feb-26,3:20:56 AM,270
41,9,116,Punjabi Pizza,3,06-Apr-26,9:15:52 AM,750
42,9,197,Sweet Curry,3,10-Mar-26,3:43:23 PM,960
43,10,200,Smoky Fried Rice,4,15-Feb-26,7:53:52 PM,1000
44,10,207,Sweet Noodles,2,07-Jan-26,8:45:15 AM,460
45,10,264,BBQ Fried Rice,2,15-Apr-26,2:53:41 PM,180
46,10,261,Crispy IceCream,2,24-Jan-26,12:29:44 AM,640
47,10,250,Spicy IceCream,2,14-Feb-26,12:59:37 PM,180
48,10,137,Garlic Fried Rice,4,21-Jan-26,8:11:15 PM,1280
49,11,263,BBQ Kebab,2,02-Feb-26,8:40:49 AM,80
50,11,314,Crispy Manchurian,1,26-Jan-26,2:29:32 AM,90
51,11,293,Spicy Pasta,2,08-Jan-26,2:33:50 AM,640
52,11,373,Crispy Curry,1,07-Mar-26,1:43:31 AM,380
53,11,261,Crispy IceCream,3,26-Jan-26,11:15:41 PM,960
54,11,140,Deluxe Salad,4,11-Jan-26,6:42:49 PM,240
55,12,151,Garlic Vada,2,02-Apr-26,6:15:45 PM,120
56,12,110,Cheesy Salad,2,05-Feb-26,3:15:19 AM,500
57,12,440,South Indian Roti,1,01-Apr-26,6:55:10 AM,50
58,12,228,Spicy Soup,3,14-Jan-26,8:10:14 AM,750
59,12,327,Tandoori Roll,1,21-Jan-26,7:23:15 AM,150
60,13,299,Garlic Idly,3,01-Apr-26,10:29:53 PM,690
61,13,422,Tandoori Biryani,4,24-Feb-26,8:20:13 PM,1000
62,13,370,BBQ Halwa,1,20-Feb-26,4:20:23 PM,120
63,13,179,Hyderabadi Tikka,3,18-Mar-26,12:56:43 PM,270
64,13,380,North Indian Curry,2,23-Mar-26,10:37:41 PM,460
65,13,140,Deluxe Salad,2,19-Apr-26,2:10:11 PM,120
66,14,359,Smoky Roti,4,24-Feb-26,12:38:58 AM,920
67,14,376,North Indian Pizza,1,09-Feb-26,2:57:37 AM,50
68,14,101,North Indian Soup,1,17-Feb-26,3:44:47 PM,150
69,14,127,Spicy Kebab,2,26-Apr-26,11:46:10 AM,640
70,15,170,Tandoori Naan,3,07-Jan-26,11:44:52 PM,750
71,15,339,Hyderabadi Platter,3,06-Jan-26,11:48:49 AM,180
72,15,373,Crispy Curry,4,24-Feb-26,6:31:32 PM,1520
73,15,141,Punjabi Idly,1,16-Feb-26,4:47:45 PM,320
74,16,202,Spicy Idly,1,17-Mar-26,10:29:47 PM,150
75,16,187,Schezwan Noodles,4,21-Jan-26,8:11:51 PM,280
76,16,212,Spicy Halwa,3,18-Feb-26,3:18:15 AM,1140
77,17,147,Mexican Naan,3,03-Feb-26,3:37:46 AM,360
78,17,123,Baked Tikka,4,03-Mar-26,3:44:54 PM,720
79,17,268,Punjabi Halwa,1,28-Mar-26,11:13:19 PM,180
80,17,172,Mexican IceCream,4,17-Jan-26,6:38:38 PM,600
81,17,305,Schezwan Pasta,4,20-Mar-26,8:13:50 AM,600
82,17,309,Crispy Halwa,2,28-Jan-26,3:30:30 AM,460
83,18,352,BBQ Naan,1,26-Mar-26,5:39:43 AM,40
84,18,405,Hyderabadi Salad,3,15-Feb-26,2:31:41 AM,360
85,18,278,Tandoori IceCream,1,12-Apr-26,2:35:18 AM,40
86,19,224,South Indian Fried Rice,1,05-Mar-26,1:34:41 PM,70
87,19,198,Cheesy Fried Rice,1,30-Mar-26,12:38:10 AM,40
88,19,345,North Indian Vada,4,21-Jan-26,3:47:20 AM,1280
89,19,295,Smoky Manchurian,2,18-Jan-26,1:33:27 AM,80
90,19,282,South Indian Tikka,2,21-Apr-26,6:44:48 AM,240
91,19,286,Hot Burger,1,25-Jan-26,11:44:21 AM,90
92,20,118,Sweet Platter,2,12-Apr-26,3:32:23 AM,140
93,20,381,BBQ Manchurian,1,10-Feb-26,8:33:54 PM,320
94,20,196,Baked Kebab,3,10-Feb-26,4:48:57 AM,270
95,21,282,South Indian Tikka,3,18-Jan-26,10:28:47 AM,360
96,21,227,Deluxe Roti,3,29-Jan-26,7:21:26 AM,690
97,21,137,Garlic Fried Rice,2,23-Mar-26,8:24:24 AM,640
98,21,148,Deluxe Soup,4,22-Jan-26,3:51:46 PM,1520
